metric,history_1,value_1,history_2,value_2
new_lines,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
public_documented_api_density,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
new_maintainability_rating,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
new_development_cost,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
effort_to_reach_maintainability_rating_a,2020-11-10T01:54:11+0100,0,2020-12-03T03:21:09+0100,0
new_security_review_rating,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
security_hotspots_reviewed,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
security_hotspots_to_review_status,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
new_security_hotspots_reviewed_status,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
new_security_hotspots_to_review_status,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
new_security_hotspots_reviewed,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
security_hotspots_reviewed_status,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
classes,2020-11-10T01:54:11+0100,0,2020-12-03T03:21:09+0100,0
files,2020-11-10T01:54:11+0100,35,2020-12-03T03:21:09+0100,52
functions,2020-11-10T01:54:11+0100,61,2020-12-03T03:21:09+0100,97
statements,2020-11-10T01:54:11+0100,462,2020-12-03T03:21:09+0100,680
public_api,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
projects,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
comment_lines,2020-11-10T01:54:11+0100,56,2020-12-03T03:21:09+0100,216
comment_lines_density,2020-11-10T01:54:11+0100,4.7,2020-12-03T03:21:09+0100,10.3
complexity,2020-11-10T01:54:11+0100,93,2020-12-03T03:21:09+0100,133
complexity_in_classes,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
complexity_in_functions,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
function_complexity_distribution,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
file_complexity_distribution,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
generated_lines,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
ncloc,2020-11-10T01:54:11+0100,1138,2020-12-03T03:21:09+0100,1889
ncloc_language_distribution,2020-11-10T01:54:11+0100,js=1138,2020-12-03T03:21:09+0100,js=1603;plsql=286
generated_ncloc,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
line_coverage,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
new_line_coverage,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
new_conditions_to_cover,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
branch_coverage,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
new_branch_coverage,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
new_minor_violations,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
new_info_violations,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
false_positive_issues,2020-11-10T01:54:11+0100,0,2020-12-03T03:21:09+0100,0
open_issues,2020-11-10T01:54:11+0100,15,2020-12-03T03:21:09+0100,45
reopened_issues,2020-11-10T01:54:11+0100,0,2020-12-03T03:21:09+0100,0
confirmed_issues,2020-11-10T01:54:11+0100,0,2020-12-03T03:21:09+0100,0
code_smells,2020-11-10T01:54:11+0100,10,2020-12-03T03:21:09+0100,40
new_code_smells,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
bugs,2020-11-10T01:54:11+0100,0,2020-12-03T03:21:09+0100,0
new_bugs,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
cognitive_complexity,2020-11-10T01:54:11+0100,44,2020-12-03T03:21:09+0100,55
skipped_tests,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
coverage,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
new_coverage,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
lines_to_cover,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
new_lines_to_cover,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
info_violations,2020-11-10T01:54:11+0100,0,2020-12-03T03:21:09+0100,0
new_vulnerabilities,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
security_hotspots,2020-11-10T01:54:11+0100,10,2020-12-03T03:21:09+0100,9
new_security_hotspots,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
duplicated_blocks,2020-11-10T01:54:11+0100,2,2020-12-03T03:21:09+0100,10
new_duplicated_blocks,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
duplicated_files,2020-11-10T01:54:11+0100,2,2020-12-03T03:21:09+0100,3
duplicated_lines_density,2020-11-10T01:54:11+0100,2.9,2020-12-03T03:21:09+0100,9.7
new_duplicated_lines_density,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
duplications_data,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
violations,2020-11-10T01:54:11+0100,15,2020-12-03T03:21:09+0100,45
blocker_violations,2020-11-10T01:54:11+0100,0,2020-12-03T03:21:09+0100,0
major_violations,2020-11-10T01:54:11+0100,7,2020-12-03T03:21:09+0100,21
minor_violations,2020-11-10T01:54:11+0100,8,2020-12-03T03:21:09+0100,8
new_violations,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
new_blocker_violations,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
new_critical_violations,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
new_major_violations,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
reliability_remediation_effort,2020-11-10T01:54:11+0100,0,2020-12-03T03:21:09+0100,0
new_reliability_remediation_effort,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
reliability_rating,2020-11-10T01:54:11+0100,1.0,2020-12-03T03:21:09+0100,1.0
new_reliability_rating,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
security_remediation_effort,2020-11-10T01:54:11+0100,25,2020-12-03T03:21:09+0100,25
new_security_rating,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
security_review_rating,2020-11-10T01:54:11+0100,2.0,2020-12-03T03:21:09+0100,5.0
duplicated_lines,2020-11-10T01:54:11+0100,42,2020-12-03T03:21:09+0100,257
new_duplicated_lines,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
quality_profiles,2020-11-10T01:54:11+0100,"[{""key"":""AXWvpRVnsLNi72AWVd8l"",""language"":""js"",""name"":""Sonar way"",""rulesUpdatedAt"":""2020-10-23T12:03:04+0000""}]",2020-12-03T03:21:09+0100,"[{""key"":""AXWvpRVnsLNi72AWVd8l"",""language"":""js"",""name"":""Sonar way"",""rulesUpdatedAt"":""2020-11-16T08:31:07+0000""},{""key"":""AXWvpRVnsLNi72AWVd8h"",""language"":""plsql"",""name"":""Sonar way"",""rulesUpdatedAt"":""2020-11-12T08:26:41+0000""}]"
sqale_index,2020-11-10T01:54:11+0100,85,2020-12-03T03:21:09+0100,159
new_technical_debt,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
sqale_rating,2020-11-10T01:54:11+0100,1.0,2020-12-03T03:21:09+0100,1.0
development_cost,2020-11-10T01:54:11+0100,34140,2020-12-03T03:21:09+0100,56670
sqale_debt_ratio,2020-11-10T01:54:11+0100,0.2,2020-12-03T03:21:09+0100,0.3
new_sqale_debt_ratio,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
new_security_remediation_effort,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
security_rating,2020-11-10T01:54:11+0100,2.0,2020-12-03T03:21:09+0100,2.0
alert_status,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
quality_gate_details,2020-11-10T01:54:11+0100,,2020-12-03T03:21:09+0100,
